,statement,label
79,"Who are the authors of ""Fossil AGN jets as ultra high energy particle accelerators""?
These people are authors: Stephane Nonnenmacher and Maciej Zworski",0
80,"Who are the authors of ""Location-Aided Fast Distributed Consensus in Wireless Networks""?
These people are authors: Wenjun Li, Yanbing Zhang and Huaiyu Dai",1
81,"Who are the authors of ""Location-Aided Fast Distributed Consensus in Wireless Networks""?
These people are not authors: Wenjun Li, Yanbing Zhang and Huaiyu Dai",0
82,"Who are the authors of ""Location-Aided Fast Distributed Consensus in Wireless Networks""?
These people are not authors: Mauro R. Cosentino (for the Star Collaboration)",1
83,"Who are the authors of ""Location-Aided Fast Distributed Consensus in Wireless Networks""?
These people are authors: Mauro R. Cosentino (for the Star Collaboration)",0
84,"Who are the authors of ""The concrete theory of numbers : Problem of simplicity of Fermat number-twins""?
These people are authors: Boris V. Tarasov",1
85,"Who are the authors of ""The concrete theory of numbers : Problem of simplicity of Fermat number-twins""?
These people are not authors: Boris V. Tarasov",0
86,"Who are the authors of ""The concrete theory of numbers : Problem of simplicity of Fermat number-twins""?
These people are not authors: Avner Peleg",1
87,"Who are the authors of ""The concrete theory of numbers : Problem of simplicity of Fermat number-twins""?
These people are authors: Avner Peleg",0
88,"Who are the authors of ""Open Charm Production in pp and Heavy Ion Collisions in QCD""?
These people are authors: C. Merino, C. Pajares, and Yu. M. Shabelski",1
89,"Who are the authors of ""Open Charm Production in pp and Heavy Ion Collisions in QCD""?
These people are not authors: C. Merino, C. Pajares, and Yu. M. Shabelski",0
90,"Who are the authors of ""Open Charm Production in pp and Heavy Ion Collisions in QCD""?
These people are not authors: Petarpa Boonserm (Victoria University of Wellington) and Matt Visser (Victoria University of Wellington)",1
91,"Who are the authors of ""Open Charm Production in pp and Heavy Ion Collisions in QCD""?
These people are authors: Petarpa Boonserm (Victoria University of Wellington) and Matt Visser (Victoria University of Wellington)",0
92,"Who are the authors of ""On the elastic moduli of three-dimensional assemblies of spheres: characterization and modeling of fluctuations in the particle displacement and rotation""?
These people are authors: I. Agnolin, J.-N. Roux",1
93,"Who are the authors of ""On the elastic moduli of three-dimensional assemblies of spheres: characterization and modeling of fluctuations in the particle displacement and rotation""?
These people are not authors: I. Agnolin, J.-N. Roux",0
94,"Who are the authors of ""On the elastic moduli of three-dimensional assemblies of spheres: characterization and modeling of fluctuations in the particle displacement and rotation""?
These people are not authors: Dmitry L. Kovrizhin (Clarendon Laboratory, University of Oxford) G. Venketeswara Pai (Technion) Subhasis Sinha (S.N. Bose National Centre for Basic Sciences)",1
95,"Who are the authors of ""On the elastic moduli of three-dimensional assemblies of spheres: characterization and modeling of fluctuations in the particle displacement and rotation""?
These people are authors: Dmitry L. Kovrizhin (Clarendon Laboratory, University of Oxford) G. Venketeswara Pai (Technion) Subhasis Sinha (S.N. Bose National Centre for Basic Sciences)",0
96,"Who are the authors of ""Recombination Ghosts in Littrow Configuration: Implications for Spectrographs Using Volume Phase Holographic Gratings""?
These people are authors: Eric B. Burgh, Matthew A. Bershady, Kyle B. Westfall, Kenneth H. Nordsieck",1
97,"Who are the authors of ""Recombination Ghosts in Littrow Configuration: Implications for Spectrographs Using Volume Phase Holographic Gratings""?
These people are not authors: Eric B. Burgh, Matthew A. Bershady, Kyle B. Westfall, Kenneth H. Nordsieck",0
98,"Who are the authors of ""Recombination Ghosts in Littrow Configuration: Implications for Spectrographs Using Volume Phase Holographic Gratings""?
These people are not authors: F. S. Bergeret, A. Levy Yeyati, A. Martin-Rodero",1
99,"Who are the authors of ""Recombination Ghosts in Littrow Configuration: Implications for Spectrographs Using Volume Phase Holographic Gratings""?
These people are authors: F. S. Bergeret, A. Levy Yeyati, A. Martin-Rodero",0
100,"Who are the authors of ""Overview document for: A weight function theory of basis function interpolants and smoothers""?
These people are authors: Phillip Y. Williams",1
101,"Who are the authors of ""Overview document for: A weight function theory of basis function interpolants and smoothers""?
These people are not authors: Phillip Y. Williams",0
102,"Who are the authors of ""Overview document for: A weight function theory of basis function interpolants and smoothers""?
These people are not authors: Paolo Zanardi, Matteo G A Paris, Lorenzo Campos Venuti",1
103,"Who are the authors of ""Overview document for: A weight function theory of basis function interpolants and smoothers""?
These people are authors: Paolo Zanardi, Matteo G A Paris, Lorenzo Campos Venuti",0
104,"Who are the authors of ""Kondo lattice model at half-filling""?
These people are authors: R. Nourafkan and N. Nafari",1
105,"Who are the authors of ""Kondo lattice model at half-filling""?
These people are not authors: R. Nourafkan and N. Nafari",0
106,"Who are the authors of ""Kondo lattice model at half-filling""?
These people are not authors: Jens Marklof, Yves Tourigny, Lech Wolowski",1
107,"Who are the authors of ""Kondo lattice model at half-filling""?
These people are authors: Jens Marklof, Yves Tourigny, Lech Wolowski",0
108,"Who are the authors of ""A physical basis for MOND""?
These people are authors: Alasdair Macleod",1
109,"Who are the authors of ""A physical basis for MOND""?
These people are not authors: Alasdair Macleod",0
110,"Who are the authors of ""A physical basis for MOND""?
These people are not authors: Saharon Shelah",1
111,"Who are the authors of ""A physical basis for MOND""?
These people are authors: Saharon Shelah",0
112,"Who are the authors of ""Localized non-diffusive asymptotic patterns for nonlinear parabolic equations with gradient absorption""?
These people are authors: Philippe Lauren\c{c}ot and Juan Luis V\'azquez",1
113,"Who are the authors of ""Localized non-diffusive asymptotic patterns for nonlinear parabolic equations with gradient absorption""?
These people are not authors: Philippe Lauren\c{c}ot and Juan Luis V\'azquez",0
114,"Who are the authors of ""Localized non-diffusive asymptotic patterns for nonlinear parabolic equations with gradient absorption""?
These people are not authors: Victor M. Buchstaber, Svjetlana Terzic",1
115,"Who are the authors of ""Localized non-diffusive asymptotic patterns for nonlinear parabolic equations with gradient absorption""?
These people are authors: Victor M. Buchstaber, Svjetlana Terzic",0
116,"Who are the authors of ""Upper and lower bounds on resonances for manifolds hyperbolic near infinity""?
These people are authors: David Borthwick",1
117,"Who are the authors of ""Upper and lower bounds on resonances for manifolds hyperbolic near infinity""?
These people are not authors: David Borthwick",0
118,"Who are the authors of ""Upper and lower bounds on resonances for manifolds hyperbolic near infinity""?
These people are not authors: Alexey Boyarsky, Dmytro Iakubovskyi, Oleg Ruchayskiy and Vladimir Savchenko",1
119,"Who are the authors of ""Upper and lower bounds on resonances for manifolds hyperbolic near infinity""?
These people are authors: Alexey Boyarsky, Dmytro Iakubovskyi, Oleg Ruchayskiy and Vladimir Savchenko",0
120,"Who are the authors of ""Low noise cryogenic system for the measurement of Casimir energy in rigid cavities""?
These people are authors: Giuseppe Bimonte, Detlef Born, Enrico Calloni, Giampiero Esposito, Uwe Huebner, Evgeni Il'ichev, Luigi Rosa, Francesco Tafuri, Ruggero Vaglio",1
121,"Who are the authors of ""Low noise cryogenic system for the measurement of Casimir energy in rigid cavities""?
These people are not authors: Giuseppe Bimonte, Detlef Born, Enrico Calloni, Giampiero Esposito, Uwe Huebner, Evgeni Il'ichev, Luigi Rosa, Francesco Tafuri, Ruggero Vaglio",0
122,"Who are the authors of ""Low noise cryogenic system for the measurement of Casimir energy in rigid cavities""?
These people are not authors: Wen-Rong Dai, De-Xing Kong, Kefeng Liu",1
123,"Who are the authors of ""Low noise cryogenic system for the measurement of Casimir energy in rigid cavities""?
These people are authors: Wen-Rong Dai, De-Xing Kong, Kefeng Liu",0
124,"Who are the authors of ""Shape reconstruction from gradient data""?
These people are authors: Svenja Ettl, J\""urgen Kaminski, Markus C. Knauer, and Gerd H\""ausler",1
125,"Who are the authors of ""Shape reconstruction from gradient data""?
These people are not authors: Svenja Ettl, J\""urgen Kaminski, Markus C. Knauer, and Gerd H\""ausler",0
126,"Who are the authors of ""Shape reconstruction from gradient data""?
These people are not authors: V. Peskov and A. Zichichi",1
127,"Who are the authors of ""Shape reconstruction from gradient data""?
These people are authors: V. Peskov and A. Zichichi",0
128,"Who are the authors of ""Rejoinder: Struggles with Survey Weighting and Regression Modeling""?
These people are authors: Andrew Gelman",1
129,"Who are the authors of ""Rejoinder: Struggles with Survey Weighting and Regression Modeling""?
These people are not authors: Andrew Gelman",0
130,"Who are the authors of ""Rejoinder: Struggles with Survey Weighting and Regression Modeling""?
These people are not authors: NA49 Collaboration",1
131,"Who are the authors of ""Rejoinder: Struggles with Survey Weighting and Regression Modeling""?
These people are authors: NA49 Collaboration",0
132,"Who are the authors of ""On derived categories and derived functors""?
These people are authors: Samson Saneblidze",1
133,"Who are the authors of ""On derived categories and derived functors""?
These people are not authors: Samson Saneblidze",0
134,"Who are the authors of ""On derived categories and derived functors""?
These people are not authors: P. H. Williams, G. Hirst, B. D. Muratori, H. L. Owen, S. L. Smith",1
135,"Who are the authors of ""On derived categories and derived functors""?
These people are authors: P. H. Williams, G. Hirst, B. D. Muratori, H. L. Owen, S. L. Smith",0
136,"Who are the authors of ""Structure of hybrid protoneutron stars within the Nambu--Jona-Lasinio model""?
These people are authors: G.F.Burgio and S. Plumari (INFN Sezione di Catania, and Dipartimento di Fisica e Astronomia, Universita' di Catania, Italy)",1
137,"Who are the authors of ""Structure of hybrid protoneutron stars within the Nambu--Jona-Lasinio model""?
These people are not authors: G.F.Burgio and S. Plumari (INFN Sezione di Catania, and Dipartimento di Fisica e Astronomia, Universita' di Catania, Italy)",0
138,"Who are the authors of ""Structure of hybrid protoneutron stars within the Nambu--Jona-Lasinio model""?
These people are not authors: Wan Ahmad Tajuddin Wan Abdullah and Sidiq Mohamad Khidzir (Universiti Malaya)",1
139,"Who are the authors of ""Structure of hybrid protoneutron stars within the Nambu--Jona-Lasinio model""?
These people are authors: Wan Ahmad Tajuddin Wan Abdullah and Sidiq Mohamad Khidzir (Universiti Malaya)",0
140,"Who are the authors of ""Characteristic varieties of nilpotent groups and applications""?
These people are authors: Anca Macinic, Stefan Papadima",1
141,"Who are the authors of ""Characteristic varieties of nilpotent groups and applications""?
These people are not authors: Anca Macinic, Stefan Papadima",0
142,"Who are the authors of ""Characteristic varieties of nilpotent groups and applications""?
These people are not authors: Oliver Kamps, Rudolf Friedrich",1
143,"Who are the authors of ""Characteristic varieties of nilpotent groups and applications""?
These people are authors: Oliver Kamps, Rudolf Friedrich",0
144,"Who are the authors of ""Density profiles of Ar adsorbed in slits of CO_2: spontaneous symmetry breaking""?
These people are authors: Leszek Szybisz and Salvador A. Sartarelli",1
145,"Who are the authors of ""Density profiles of Ar adsorbed in slits of CO_2: spontaneous symmetry breaking""?
These people are not authors: Leszek Szybisz and Salvador A. Sartarelli",0
146,"Who are the authors of ""Density profiles of Ar adsorbed in slits of CO_2: spontaneous symmetry breaking""?
These people are not authors: R.J. van den Hoogen",1
147,"Who are the authors of ""Density profiles of Ar adsorbed in slits of CO_2: spontaneous symmetry breaking""?
These people are authors: R.J. van den Hoogen",0
148,"Who are the authors of ""The IceCube Collaboration: contributions to the 30th International Cosmic Ray Conference (ICRC 2007)""?
These people are authors: The IceCube Collaboration",1
149,"Who are the authors of ""The IceCube Collaboration: contributions to the 30th International Cosmic Ray Conference (ICRC 2007)""?
These people are not authors: The IceCube Collaboration",0
150,"Who are the authors of ""The IceCube Collaboration: contributions to the 30th International Cosmic Ray Conference (ICRC 2007)""?
These people are not authors: Lukasz Cincio, Jacek Dziarmaga, and Marek M. Rams",1
151,"Who are the authors of ""The IceCube Collaboration: contributions to the 30th International Cosmic Ray Conference (ICRC 2007)""?
These people are authors: Lukasz Cincio, Jacek Dziarmaga, and Marek M. Rams",0
152,"Who are the authors of ""Stacky Abelianization of an Algebraic Group""?
These people are authors: Masoud Kamgarpour",1
153,"Who are the authors of ""Stacky Abelianization of an Algebraic Group""?
These people are not authors: Masoud Kamgarpour",0
154,"Who are the authors of ""Stacky Abelianization of an Algebraic Group""?
These people are not authors: S. Leurini (1,2), H. Beuther (3), P. Schilke (1), F. Wyrowski (1), Q. Zhang (4), K.M. Menten (1) (1 MPIfR,2 ESO, 3 MPIA, 4 CfA)",1
155,"Who are the authors of ""Stacky Abelianization of an Algebraic Group""?
These people are authors: S. Leurini (1,2), H. Beuther (3), P. Schilke (1), F. Wyrowski (1), Q. Zhang (4), K.M. Menten (1) (1 MPIfR,2 ESO, 3 MPIA, 4 CfA)",0
156,"Who are the authors of ""Control Lyapunov Functions and Stabilization by Means of Continuous Time-Varying Feedback""?
These people are authors: Iasson Karafyllis and John Tsinias",1
157,"Who are the authors of ""Control Lyapunov Functions and Stabilization by Means of Continuous Time-Varying Feedback""?
These people are not authors: Iasson Karafyllis and John Tsinias",0
158,"Who are the authors of ""Control Lyapunov Functions and Stabilization by Means of Continuous Time-Varying Feedback""?
These people are not authors: H\'el\`ene Esnault",1
159,"Who are the authors of ""Control Lyapunov Functions and Stabilization by Means of Continuous Time-Varying Feedback""?
These people are authors: H\'el\`ene Esnault",0
160,"Who are the authors of ""Alternative Method for Determining the Feynman Propagator of a Non-Relativistic Quantum Mechanical Problem""?
These people are authors: Marcos Moshinsky, Emerson Sadurni and Adolfo del Campo",1
161,"Who are the authors of ""Alternative Method for Determining the Feynman Propagator of a Non-Relativistic Quantum Mechanical Problem""?
These people are not authors: Marcos Moshinsky, Emerson Sadurni and Adolfo del Campo",0
162,"Who are the authors of ""Alternative Method for Determining the Feynman Propagator of a Non-Relativistic Quantum Mechanical Problem""?
These people are not authors: Robert S. Whitney",1
163,"Who are the authors of ""Alternative Method for Determining the Feynman Propagator of a Non-Relativistic Quantum Mechanical Problem""?
These people are authors: Robert S. Whitney",0
164,"Who are the authors of ""Trial wave functions for High-Pressure Metallic Hydrogen""?
These people are authors: Carlo Pierleoni, Kris T. Delaney, Miguel A. Morales, David M. Ceperley and Markus Holzmann",1
165,"Who are the authors of ""Trial wave functions for High-Pressure Metallic Hydrogen""?
These people are not authors: Carlo Pierleoni, Kris T. Delaney, Miguel A. Morales, David M. Ceperley and Markus Holzmann",0
166,"Who are the authors of ""Trial wave functions for High-Pressure Metallic Hydrogen""?
These people are not authors: Winfried Just and German A. Enciso",1
167,"Who are the authors of ""Trial wave functions for High-Pressure Metallic Hydrogen""?
These people are authors: Winfried Just and German A. Enciso",0
168,"Who are the authors of ""Two Circular-Rotational Eigenmodes in Vortex Gyrotropic Motions in Soft Magnetic Nanodots""?
These people are authors: Ki-Suk Lee, and Sang-Koog Kim",1
169,"Who are the authors of ""Two Circular-Rotational Eigenmodes in Vortex Gyrotropic Motions in Soft Magnetic Nanodots""?
These people are not authors: Ki-Suk Lee, and Sang-Koog Kim",0
170,"Who are the authors of ""Two Circular-Rotational Eigenmodes in Vortex Gyrotropic Motions in Soft Magnetic Nanodots""?
These people are not authors: Nihar Jindal, Jeffrey G. Andrews, Steven Weber",1
171,"Who are the authors of ""Two Circular-Rotational Eigenmodes in Vortex Gyrotropic Motions in Soft Magnetic Nanodots""?
These people are authors: Nihar Jindal, Jeffrey G. Andrews, Steven Weber",0
172,"Who are the authors of ""Electronic and structural transition in $La_{0.2} Sr_{0.8} Mn O_3$""?
These people are authors: R. Bindu, Kalobaran Maiti, R. Rawat and S. Khalid",1
173,"Who are the authors of ""Electronic and structural transition in $La_{0.2} Sr_{0.8} Mn O_3$""?
These people are not authors: R. Bindu, Kalobaran Maiti, R. Rawat and S. Khalid",0
174,"Who are the authors of ""Electronic and structural transition in $La_{0.2} Sr_{0.8} Mn O_3$""?
These people are not authors: Jinshan Zhang, Yan Huo, and Fengshan Bai",1
175,"Who are the authors of ""Electronic and structural transition in $La_{0.2} Sr_{0.8} Mn O_3$""?
These people are authors: Jinshan Zhang, Yan Huo, and Fengshan Bai",0
176,"Who are the authors of ""Quantum invariants can provide sharp Heegaard genus bounds""?
These people are authors: Helen Wong",1
177,"Who are the authors of ""Quantum invariants can provide sharp Heegaard genus bounds""?
These people are not authors: Helen Wong",0
178,"Who are the authors of ""Quantum invariants can provide sharp Heegaard genus bounds""?
These people are not authors: Carsten Gundlach, Jose M. Martin-Garcia",1
179,"Who are the authors of ""Quantum invariants can provide sharp Heegaard genus bounds""?
These people are authors: Carsten Gundlach, Jose M. Martin-Garcia",0
